label,input_tokens,tokens,generated_tokens,elapsed_s,decode_layers,rms_norms,residual_adds,silu_gate_products,q1_backend_calls,attention_backend_calls,lm_head_calls,transformer_q1_calls,lm_head_q1_calls,total_q1_calls,transformer_q1_rows,lm_head_q1_rows,total_q1_rows,transformer_q1_dot_elements,lm_head_q1_dot_elements,total_q1_dot_elements,total_q1_groups_128,attention_calls,attention_score_mac,attention_value_mac,total_attention_mac,q1_dot_elements_per_token,q1_groups_128_per_token,attention_mac_per_token_avg
tokens_1,1,0,25,2.185,28,141,56,28,197,28,1,196,1,197,573440,151669,725109,1409286144,310618112,1719904256,13436752,28,57344,57344,114688,1719904256,13436752,114688
tokens_2,2,"0,2928","25,2928",3.512,56,282,112,56,394,56,2,392,2,394,1146880,303338,1450218,2818572288,621236224,3439808512,26873504,56,172032,172032,344064,1719904256,13436752,172032
tokens_4,4,"0,2928,9707,785","25,2928,11,1196",6.890,112,564,224,112,788,112,4,784,4,788,2293760,606676,2900436,5637144576,1242472448,6879617024,53747008,112,573440,573440,1146880,1719904256,13436752,286720
